Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
06/28/2016 12:00:00 AM,Complete,Special Event,Community,,R-Day,S16OC370,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,,Sodo,2,South,KEXP and Boldhat Productions,3020
06/28/2016 12:00:00 AM,Complete,Special Event,Community,,Live in D5,S16AU371,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Northgate,5,North,"City of Seattle, City Council Member Debora Juarez",110
06/28/2016 12:00:00 AM,Complete,Special Event,Commercial,,Boats Afloat Show,S16SE372,09/14/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,South Lake Union,3,West,Northwest Yacht Brokers Association,6350
06/28/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Miss DiJulio Hydro Rally,S16AU373,08/02/2016 12:00:00 AM,08/02/2016 12:00:00 AM,,Downtown,7,West,"Miss DiJulio Racing, LLC",151
06/29/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Baby and Co 40th Anniversary Celebration,S16SE374,09/09/2016 12:00:00 AM,09/09/2016 12:00:00 AM,,Downtown,7,West,Baby & Company,125
06/29/2016 12:00:00 AM,Complete,Special Event,Commercial,,Corson Building Wedding 7.23,S16JY375,07/23/2016 12:00:00 AM,07/23/2016 12:00:00 AM,,Georgetown,2,South,The Corson Building,105
06/30/2016 12:00:00 AM,Complete,Charter Vessel,,,"Seattle Ferry Services, LLC",CV16JY376,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,Wallingford,4,North,"Seattle Ferry Services, LLC",42
06/30/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Head of the Lake,S16NO377,11/06/2016 12:00:00 AM,11/06/2016 12:00:00 AM,,South Lake Union,2,West,Lake Washington Rowing Club,2300
06/29/2016 12:00:00 AM,Complete,Special Event,Commercial,,VA Puget Sound Health Care System Employee Appreciation Picnic,S16AU378,08/16/2016 12:00:00 AM,08/16/2016 12:00:00 AM,,Beacon Hill,2,South,VA Puget Sound Health Care System,950
06/30/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,Night Light,S16SE379,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Bitter Lake,5,North,REST (Real Escape from the Sex Trade),200
07/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Great Pumpkin Beer Festival,S16OC380,10/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,,Sodo,2,West,Elysian Brewing,10000
07/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,EPOCH shows at Bad Jimmy's Brewing Co,S16AU381,08/12/2016 12:00:00 AM,08/12/2016 12:00:00 AM,,Ballard,6,North,Kellyco Enterprises,420
07/01/2016 12:00:00 AM,Complete,Special Event,Community,,Mount Baker Town Center: the Design Change Street Festival!,S16SE382,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Mount Baker,2,South,"Friends of Mt Baker Town Center (sponsored by Seattle Parks Foundation), with Mt Baker Hub Business Association",315
07/01/2016 12:00:00 AM,Complete,Special Event,Community,,Up Your Ave,S16SE383,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,University District,4,North,The U District Partnership,1025
07/05/2016 12:00:00 AM,Complete,Special Event,Commercial,,Macefield Music Festival,S16OC384,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Ballard,6,North,"Macefield Music Festival, LLC",925
07/05/2016 12:00:00 AM,Complete,Special Event,Community,,Van Haven,S16SE385,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,Georgetown,2,South,TNE Network,550
07/06/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Seattle Marathon 10K Race,S16AU386,08/26/2016 12:00:00 AM,08/27/2016 12:00:00 AM,,Fremont,4;6,North,Seattle Marathon Association,1600
07/07/2016 12:00:00 AM,Complete,Special Event,Commercial,,First Place Breakfast on the Beach with Luvo Inc and Russell Wilson,S16JY387,07/18/2016 12:00:00 AM,07/18/2016 12:00:00 AM,Gas Works Park,Wallingford,4,North,First Place,
07/08/2016 12:00:00 AM,Cancelled,Special Event,Community,,Chinatown International District Block Party,S16AU388,08/28/2016 12:00:00 AM,08/28/2016 12:00:00 AM,,International District,2,West,Seattle Chinatown International District Preservation and Development Authority,500
07/08/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Light the Night Walk,S16OC389,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,,Lower Queen Anne,7,West,Leukemia & Lymphoma Society,2100
07/13/2016 12:00:00 AM,Complete,Special Event,Commercial,,NFL Sponsor Appreciation Event,S16OC390,10/16/2016 12:00:00 AM,10/16/2016 12:00:00 AM,,Sodo,2,West,The Travelers Inc/National Event Pros,315
07/13/2016 12:00:00 AM,Complete,Special Event,Free Speech,,St. Gebreal Ethiopian Orthodox Celebration,S16JY391,07/24/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,Central District,2,West,St. Gebreal Ethiopian Orthodox Church,710
07/13/2016 12:00:00 AM,Cancelled,Special Event,Community,,Rave Foundation Occidental Square Event,S16AU392,08/21/2016 12:00:00 AM,08/21/2016 12:00:00 AM,,Pioneer Square,2,West,RAVE Foundation,160
